127.0.0.1 - - [03/May/2018:18:41:22 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/May/2018:18:41:24 +0900] "GET /amasbin/main.jsp HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [03/May/2018:18:41:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/May/2018:18:51:40 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:18:51:41 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [03/May/2018:18:51:47 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [03/May/2018:18:53:52 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:18:53:53 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [03/May/2018:18:53:58 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [03/May/2018:18:54:03 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:18:55:42 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [03/May/2018:18:55:48 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:09 +0900] "GET /amasbin/login.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:12 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:15 +0900] "GET /amasbin/login.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:15 +0900] "GET /amasbin/login.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:20 +0900] "POST /amasbin/loginProc.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:22 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:22 +0900] "GET /amasbin/image/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2018:19:04:22 +0900] "GET /amasbin/image/img2.jpg HTTP/1.1" 304 -
